action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.006;0.184;0.2088;0.2572;0.1956;0.1484
0.0096;0.1868;0.2044;0.2548;0.1972;0.1472
0.012;0.1872;0.2044;0.2536;0.1956;0.1472
0.0068;0.1884;0.208;0.2584;0.1952;0.1432
0.0136;0.1868;0.206;0.2528;0.2008;0.14
0.0088;0.1884;0.2084;0.2536;0.1988;0.142
0.0144;0.1848;0.204;0.2528;0.1988;0.1452
0.0104;0.1884;0.204;0.25;0.1992;0.148
0.006;0.1856;0.2076;0.2548;0.1968;0.1492
0.0104;0.1864;0.2052;0.2536;0.1992;0.1452
0.0116;0.1868;0.206;0.2564;0.1952;0.144
0.008;0.1864;0.204;0.2532;0.1956;0.1528
0.0076;0.1888;0.2032;0.2564;0.198;0.146
0.0108;0.1812;0.2104;0.2548;0.1984;0.1444
0.0096;0.1848;0.202;0.2584;0.2024;0.1428
0.0068;0.1884;0.2016;0.2572;0.1972;0.1488
0.008;0.1884;0.2036;0.2576;0.198;0.1444
0.0084;0.186;0.2052;0.2544;0.204;0.142
0.0116;0.184;0.208;0.2524;0.2;0.144
0.01;0.1812;0.21;0.2532;0.2028;0.1428
0.008;0.1852;0.21;0.2536;0.1988;0.1444
0.0088;0.1864;0.206;0.2564;0.1968;0.1456
0.0096;0.1832;0.2064;0.2564;0.2008;0.1436
0.01;0.182;0.2084;0.256;0.1968;0.1468
0.0096;0.184;0.2076;0.2556;0.1996;0.1436
0.0108;0.1848;0.204;0.2588;0.1984;0.1432
0.0068;0.1852;0.2084;0.2556;0.1988;0.1452
0.008;0.1804;0.21;0.2608;0.196;0.1448
0.0092;0.1832;0.2056;0.2576;0.1996;0.1448
0.0056;0.1844;0.2088;0.258;0.1992;0.144
0.0096;0.1848;0.2088;0.2564;0.1952;0.1452
0.0104;0.1836;0.2076;0.2568;0.2004;0.1412
0.012;0.1848;0.2072;0.2548;0.198;0.1432
0.0096;0.1836;0.2072;0.2524;0.2024;0.1448
0.01;0.184;0.2088;0.2524;0.1992;0.1456
0.0096;0.1848;0.21;0.2536;0.198;0.144
0.0116;0.1828;0.2064;0.2556;0.198;0.1456
0.0108;0.1816;0.2076;0.2564;0.1988;0.1448
0.0072;0.1844;0.212;0.2552;0.198;0.1432
0.0068;0.1832;0.2092;0.256;0.2;0.1448
0.0096;0.1804;0.2088;0.2588;0.1956;0.1468
0.01;0.1832;0.2088;0.2592;0.1964;0.1424
0.01;0.1812;0.2028;0.258;0.2008;0.1472
0.0108;0.1808;0.2108;0.254;0.2;0.1436
0.0128;0.1868;0.2052;0.2528;0.2;0.1424
0.0084;0.1872;0.206;0.2592;0.1964;0.1428
0.0104;0.1856;0.208;0.2576;0.1928;0.1456
0.0124;0.184;0.208;0.2584;0.196;0.1412
0.0092;0.1848;0.2076;0.258;0.1996;0.1408
0.012;0.186;0.2052;0.2596;0.198;0.1392
0.0112;0.1836;0.2108;0.256;0.1976;0.1408
