action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0144;0.1528;0.226;0.3236;0.1568;0.1264
0.0108;0.1576;0.222;0.3236;0.1596;0.1264
0.0152;0.1528;0.2224;0.318;0.1632;0.1284
0.0244;0.1512;0.218;0.3228;0.1612;0.1224
0.0136;0.1544;0.2224;0.3244;0.162;0.1232
0.0164;0.15;0.2236;0.3228;0.1604;0.1268
0.0112;0.154;0.2268;0.322;0.1596;0.1264
0.0196;0.1504;0.2236;0.3248;0.16;0.1216
0.0136;0.1564;0.2276;0.3224;0.1576;0.1224
0.0112;0.1564;0.228;0.3236;0.1612;0.1196
0.0152;0.154;0.2276;0.3228;0.1572;0.1232
0.0148;0.1524;0.2308;0.3176;0.1592;0.1252
0.014;0.1524;0.2268;0.3236;0.1608;0.1224
0.0132;0.1536;0.226;0.3264;0.1576;0.1232
0.012;0.154;0.2256;0.3272;0.1568;0.1244
0.0188;0.1532;0.2288;0.3264;0.1528;0.12
0.0164;0.146;0.2312;0.3232;0.1624;0.1208
0.012;0.1504;0.2304;0.3252;0.1592;0.1228
0.0136;0.1496;0.2308;0.3244;0.16;0.1216
0.012;0.1468;0.2292;0.3264;0.1644;0.1212
0.0128;0.1468;0.2244;0.3244;0.1624;0.1292
0.0172;0.1492;0.23;0.3224;0.1576;0.1236
0.0152;0.148;0.2276;0.3228;0.1624;0.124
0.0168;0.1476;0.2232;0.3304;0.1604;0.1216
0.0156;0.15;0.2288;0.3196;0.1624;0.1236
0.0104;0.1544;0.2292;0.3216;0.162;0.1224
0.0172;0.1492;0.2288;0.3216;0.1616;0.1216
0.0156;0.1516;0.2284;0.324;0.1616;0.1188
0.0168;0.1464;0.2284;0.322;0.1672;0.1192
0.0128;0.15;0.234;0.3192;0.1584;0.1256
0.0176;0.1508;0.2276;0.32;0.1652;0.1188
0.0168;0.1472;0.2256;0.3272;0.1604;0.1228
0.0128;0.1472;0.2256;0.3272;0.166;0.1212
0.0148;0.1468;0.2296;0.3236;0.1664;0.1188
0.0116;0.1512;0.2284;0.326;0.1632;0.1196
0.016;0.152;0.2292;0.3192;0.1628;0.1208
0.0168;0.1476;0.226;0.3232;0.1668;0.1196
0.0144;0.1504;0.2268;0.322;0.1668;0.1196
0.0124;0.1532;0.2264;0.3236;0.1684;0.116
0.0172;0.1496;0.2248;0.3264;0.1672;0.1148
0.0128;0.1496;0.2236;0.3288;0.1656;0.1196
0.0136;0.1488;0.2248;0.324;0.1736;0.1152
0.0172;0.1448;0.2292;0.3248;0.1688;0.1152
0.0132;0.1492;0.2216;0.3288;0.1708;0.1164
0.02;0.1476;0.2232;0.3244;0.1672;0.1176
0.0124;0.1492;0.228;0.3256;0.1704;0.1144
0.0096;0.146;0.2264;0.3276;0.1724;0.118
0.018;0.146;0.2248;0.3264;0.1692;0.1156
0.0124;0.148;0.226;0.3256;0.1696;0.1184
0.0124;0.1488;0.2248;0.3276;0.1704;0.116
0.0176;0.15;0.2248;0.3252;0.1688;0.1136
0.0156;0.1496;0.2236;0.3284;0.1664;0.1164
0.0172;0.1488;0.2292;0.3232;0.1692;0.1124
0.0168;0.142;0.2256;0.3252;0.1688;0.1216
0.0148;0.1448;0.2264;0.3272;0.1692;0.1176
0.016;0.1448;0.2252;0.3276;0.1704;0.116
0.0144;0.1484;0.2284;0.3284;0.1656;0.1148
0.0128;0.1452;0.228;0.3292;0.168;0.1168
0.0152;0.1456;0.2248;0.3284;0.1664;0.1196
0.0144;0.1472;0.226;0.3296;0.1676;0.1152
0.0144;0.1464;0.226;0.3264;0.1712;0.1156
0.0144;0.1432;0.2284;0.3292;0.166;0.1188
0.018;0.1476;0.2232;0.326;0.1672;0.118
0.0176;0.1472;0.2292;0.3256;0.1644;0.116
0.0136;0.15;0.2276;0.3248;0.1668;0.1172
0.0152;0.144;0.23;0.3284;0.1668;0.1156
0.0124;0.148;0.2288;0.3304;0.1676;0.1128
0.0172;0.1444;0.2256;0.3292;0.1692;0.1144
0.0148;0.1456;0.2312;0.3252;0.1708;0.1124
0.0156;0.1512;0.2288;0.3244;0.168;0.112
0.0168;0.1424;0.2332;0.3244;0.1724;0.1108
0.018;0.146;0.2304;0.3272;0.1672;0.1112
0.016;0.1448;0.23;0.3296;0.166;0.1136
0.0192;0.1448;0.2272;0.33;0.1708;0.108
0.014;0.1452;0.23;0.3304;0.1688;0.1116
0.0136;0.1404;0.2316;0.3324;0.1712;0.1108
0.014;0.1384;0.2308;0.3348;0.1688;0.1132
0.0124;0.1416;0.23;0.3328;0.17;0.1132
0.0124;0.1416;0.2324;0.336;0.17;0.1076
0.0128;0.1384;0.2352;0.332;0.1732;0.1084
0.016;0.1412;0.2308;0.3324;0.168;0.1116
0.0176;0.1372;0.23;0.334;0.1704;0.1108
0.012;0.1396;0.232;0.3352;0.17;0.1112
0.0148;0.1432;0.2312;0.3276;0.17;0.1132
0.0152;0.1376;0.232;0.3332;0.1716;0.1104
0.0144;0.1352;0.2336;0.3324;0.1732;0.1112
