C = 3;C = 5;C = 8
5.80000;11.80000;22.28000
5.56000;12.08000;23.00000
5.76000;10.60000;23.00000
6.40000;11.08000;22.20000
6.56000;11.04000;22.56000
5.76000;11.64000;22.64000
6.56000;12.92000;23.20000
6.56000;12.64000;22.12000
6.64000;11.48000;22.52000
6.88000;10.92000;22.88000
6.60000;10.72000;21.96000
5.80000;10.72000;22.64000
5.64000;11.40000;22.76000
5.04000;12.12000;24.12000
4.96000;11.76000;22.76000
6.00000;11.88000;23.08000
5.76000;11.68000;22.64000
5.44000;11.88000;23.52000
6.04000;11.52000;23.20000
5.72000;10.16000;23.08000
5.80000;11.00000;22.68000
5.64000;10.80000;21.56000
5.80000;11.08000;21.56000
5.60000;10.72000;21.16000
6.08000;11.00000;21.92000
5.72000;11.40000;20.96000
6.20000;11.96000;21.68000
6.32000;12.00000;21.80000
6.12000;11.56000;21.44000
5.84000;11.36000;21.36000
5.88000;11.32000;22.24000
5.92000;11.24000;22.08000
6.36000;10.36000;22.04000
6.04000;11.28000;21.64000
6.72000;10.48000;22.08000
6.60000;10.88000;20.92000
6.24000;11.56000;22.60000
6.32000;11.44000;22.68000
5.92000;11.16000;22.92000
5.84000;10.56000;21.96000
5.92000;11.12000;22.76000
6.04000;10.36000;23.16000
5.68000;10.68000;23.04000
5.12000;10.80000;23.36000
5.44000;11.32000;23.36000
5.80000;11.60000;23.36000
5.84000;11.12000;23.04000
5.48000;11.12000;22.28000
6.20000;12.12000;21.76000
5.76000;11.76000;23.00000
5.48000;11.52000;22.52000
6.04000;10.52000;22.48000
5.96000;10.92000;23.20000
5.80000;10.60000;21.16000
5.52000;10.80000;21.52000
5.64000;11.36000;22.44000
5.36000;11.08000;22.28000
5.28000;11.16000;21.80000
5.64000;11.56000;21.80000
5.20000;11.96000;22.24000
5.68000;11.04000;22.16000
5.44000;10.72000;21.80000
5.96000;11.08000;22.40000
5.64000;9.92000;21.64000
5.12000;10.80000;22.00000
5.28000;10.96000;22.28000
5.60000;11.00000;22.60000
5.60000;10.44000;23.28000
5.16000;10.36000;23.68000
5.28000;11.20000;22.72000
5.20000;11.00000;23.44000
5.20000;11.40000;23.36000
5.32000;11.00000;22.84000
5.56000;10.80000;22.04000
5.60000;10.96000;21.96000
5.72000;10.20000;21.76000
5.56000;10.60000;23.04000
5.48000;10.52000;22.00000
5.24000;9.60000;22.24000
4.76000;10.16000;22.92000
5.08000;10.36000;23.12000
5.08000;9.44000;22.08000
5.68000;10.72000;22.72000
6.16000;11.28000;22.36000
5.68000;11.40000;21.96000
5.44000;11.08000;21.32000
5.68000;10.68000;20.44000
5.44000;11.76000;21.16000
5.76000;11.64000;21.24000
6.12000;10.68000;22.00000
6.00000;10.28000;21.72000
5.88000;11.16000;21.56000
5.60000;10.80000;22.32000
5.48000;11.48000;21.72000
5.20000;11.00000;21.64000
5.12000;11.28000;22.16000
5.56000;10.56000;22.56000
5.04000;11.48000;22.00000
5.44000;10.96000;21.28000
5.32000;11.12000;22.32000
5.32000;10.76000;22.16000
5.40000;11.04000;22.20000
5.48000;10.80000;22.00000
5.72000;10.64000;23.00000
5.92000;10.00000;21.76000
6.28000;10.80000;21.96000
6.20000;10.64000;22.12000
5.96000;11.44000;21.80000
6.04000;11.12000;21.52000
5.88000;12.28000;20.96000
5.96000;11.48000;21.36000
5.96000;12.40000;22.48000
5.76000;11.16000;22.40000
5.80000;10.52000;22.32000
5.68000;10.36000;21.92000
5.80000;10.76000;22.00000
5.64000;11.08000;23.40000
5.32000;10.80000;21.96000
5.36000;11.44000;21.76000
5.36000;10.92000;21.68000
4.88000;10.92000;21.80000
4.72000;11.16000;22.64000
4.56000;11.88000;22.00000
5.76000;11.20000;21.92000
5.72000;11.12000;21.80000
