action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0176;0.148;0.2544;0.2836;0.1932;0.1032
0.014;0.1504;0.256;0.2864;0.1924;0.1008
0.022;0.1412;0.258;0.2816;0.1964;0.1008
0.0164;0.1496;0.254;0.2824;0.1988;0.0988
0.0184;0.1452;0.254;0.2844;0.1952;0.1028
0.0196;0.1504;0.2552;0.2812;0.1924;0.1012
0.0224;0.1496;0.2524;0.2864;0.1924;0.0968
0.0172;0.148;0.256;0.2836;0.1916;0.1036
0.0144;0.1464;0.2568;0.284;0.1964;0.102
0.014;0.1472;0.256;0.286;0.1912;0.1056
0.0236;0.1408;0.2496;0.2904;0.1952;0.1004
0.0148;0.1416;0.2524;0.288;0.1992;0.104
0.0208;0.1464;0.2492;0.2856;0.1936;0.1044
0.0172;0.1488;0.2528;0.2832;0.1944;0.1036
0.0236;0.1416;0.2512;0.282;0.1944;0.1072
0.0168;0.144;0.254;0.2864;0.1948;0.104
0.018;0.1408;0.256;0.2872;0.1956;0.1024
0.0188;0.1412;0.2588;0.2904;0.1932;0.0976
0.0188;0.14;0.256;0.2968;0.1924;0.096
0.0204;0.1464;0.2568;0.2888;0.1896;0.098
0.0176;0.144;0.258;0.2876;0.1924;0.1004
0.0144;0.1444;0.2612;0.2892;0.1888;0.102
0.0184;0.1464;0.2568;0.2868;0.1884;0.1032
0.0204;0.1424;0.258;0.2876;0.1896;0.102
0.0224;0.1372;0.26;0.2912;0.1932;0.096
0.016;0.1432;0.2568;0.2888;0.1984;0.0968
0.016;0.1444;0.2596;0.2896;0.1952;0.0952
0.022;0.146;0.2592;0.288;0.1904;0.0944
0.0172;0.1448;0.2636;0.2912;0.1912;0.092
0.0144;0.1424;0.2668;0.2908;0.1928;0.0928
0.018;0.142;0.2616;0.2916;0.1876;0.0992
0.0192;0.1452;0.2616;0.2872;0.19;0.0968
0.0184;0.1452;0.2576;0.2932;0.1916;0.094
0.0208;0.1452;0.2612;0.2884;0.186;0.0984
0.02;0.1464;0.2604;0.2888;0.1856;0.0988
0.0188;0.1492;0.256;0.294;0.1896;0.0924
0.0172;0.1456;0.2608;0.2928;0.1872;0.0964
0.0208;0.1452;0.2612;0.2904;0.1896;0.0928
