action = 0;action = 60;action = 120;action = 180;action = 240;action = 300
0.0496;0.136;0.2188;0.28;0.2036;0.112
0.0472;0.1364;0.2156;0.276;0.2048;0.12
0.0492;0.1332;0.2184;0.2788;0.2064;0.114
0.0492;0.1284;0.2164;0.2916;0.2;0.1144
0.0572;0.1244;0.2188;0.2872;0.2004;0.112
0.0432;0.128;0.224;0.2836;0.2056;0.1156
0.0512;0.1356;0.216;0.2752;0.2004;0.1216
0.0536;0.1316;0.2176;0.2708;0.2056;0.1208
0.0464;0.1356;0.2244;0.2756;0.2012;0.1168
0.0444;0.1316;0.2236;0.284;0.2004;0.116
0.048;0.1224;0.222;0.2868;0.1992;0.1216
0.0464;0.1332;0.2172;0.2812;0.2;0.122
0.0496;0.1236;0.2188;0.2836;0.2036;0.1208
0.048;0.1268;0.2144;0.2836;0.2048;0.1224
0.0448;0.1244;0.2228;0.2828;0.2024;0.1228
0.0536;0.1292;0.2248;0.282;0.1984;0.112
0.0552;0.1268;0.2168;0.282;0.1968;0.1224
0.0524;0.126;0.2316;0.282;0.1936;0.1144
0.0464;0.128;0.226;0.2864;0.1944;0.1188
0.0524;0.1296;0.2296;0.282;0.1976;0.1088
0.0504;0.1224;0.2252;0.2844;0.2036;0.114
0.0488;0.13;0.2256;0.2828;0.1984;0.1144
0.0504;0.1264;0.2316;0.2852;0.192;0.1144
0.0464;0.1284;0.2304;0.2924;0.1912;0.1112
0.0524;0.1292;0.2256;0.2896;0.1964;0.1068
0.0544;0.1356;0.2312;0.2816;0.1924;0.1048
0.044;0.1304;0.2272;0.2896;0.1944;0.1144
0.048;0.13;0.2292;0.284;0.1984;0.1104
0.0452;0.1312;0.2252;0.2896;0.1936;0.1152
0.048;0.1296;0.236;0.2768;0.1936;0.116
0.0488;0.1244;0.2348;0.2804;0.2012;0.1104
0.048;0.1216;0.2256;0.2892;0.2008;0.1148
0.0472;0.1252;0.2332;0.278;0.2068;0.1096
0.0464;0.1272;0.2248;0.2876;0.2048;0.1092
0.0504;0.1248;0.2316;0.2828;0.1988;0.1116
0.054;0.1336;0.2272;0.2796;0.2;0.1056
0.0412;0.1304;0.2252;0.2892;0.2036;0.1104
0.0476;0.1284;0.2216;0.2852;0.2016;0.1156
0.046;0.1272;0.2236;0.2884;0.2048;0.11
0.0456;0.1304;0.2228;0.29;0.1932;0.118
0.036;0.136;0.2212;0.2924;0.2072;0.1072
0.048;0.1228;0.2168;0.2912;0.2024;0.1188
0.0476;0.1204;0.2216;0.29;0.2024;0.118
0.0488;0.1212;0.22;0.288;0.2048;0.1172
0.0548;0.128;0.2212;0.2848;0.2008;0.1104
0.0528;0.1276;0.2204;0.29;0.1996;0.1096
0.05;0.1344;0.22;0.2872;0.202;0.1064
0.0484;0.1268;0.2248;0.2884;0.2052;0.1064
0.0472;0.122;0.2204;0.2852;0.204;0.1212
0.0544;0.1216;0.2256;0.2816;0.202;0.1148
0.0476;0.1212;0.2312;0.2828;0.204;0.1132
0.0508;0.1196;0.222;0.284;0.2052;0.1184
0.0476;0.13;0.2296;0.2784;0.2;0.1144
0.0588;0.1232;0.2176;0.284;0.1996;0.1168
0.0436;0.1288;0.222;0.2856;0.2036;0.1164
0.0464;0.1372;0.2176;0.286;0.1988;0.114
0.0508;0.1252;0.2196;0.2856;0.202;0.1168
0.0536;0.1312;0.2192;0.2876;0.1988;0.1096
0.046;0.1324;0.2188;0.2852;0.2036;0.114
0.0464;0.1268;0.2224;0.284;0.202;0.1184
0.0428;0.1356;0.2176;0.2884;0.2008;0.1148
0.0472;0.1324;0.2252;0.2836;0.1956;0.116
0.0416;0.1304;0.2284;0.2868;0.1992;0.1136
0.0464;0.1304;0.2292;0.2772;0.202;0.1148
0.046;0.1236;0.2248;0.2904;0.2064;0.1088
0.048;0.1288;0.228;0.2876;0.19;0.1176
0.0492;0.124;0.228;0.2824;0.2024;0.114
0.0512;0.122;0.2204;0.2896;0.204;0.1128
0.0472;0.1268;0.2284;0.2848;0.2052;0.1076
0.0512;0.1148;0.2224;0.2916;0.204;0.116
0.0464;0.1304;0.2284;0.288;0.196;0.1108
0.044;0.1204;0.226;0.286;0.2024;0.1212
0.044;0.1228;0.2244;0.2948;0.196;0.118
0.0568;0.1156;0.2244;0.2836;0.202;0.1176
0.0536;0.1148;0.2268;0.2852;0.2056;0.114
0.052;0.122;0.224;0.2828;0.2044;0.1148
0.05;0.12;0.2316;0.2828;0.2068;0.1088
0.0492;0.126;0.2256;0.282;0.2108;0.1064
0.0516;0.1168;0.2212;0.2872;0.2124;0.1108
0.0468;0.1216;0.2272;0.2816;0.2108;0.112
0.0468;0.1208;0.2284;0.284;0.2004;0.1196
