action = 0;action = 90;action = 180;action = 270
0.0276;0.1568;0.6572;0.1584
0.0288;0.1556;0.6564;0.1592
0.028;0.1592;0.6592;0.1536
0.0252;0.1564;0.6608;0.1576
0.0296;0.1564;0.664;0.15
0.0252;0.158;0.6624;0.1544
0.0248;0.1616;0.6616;0.152
0.0264;0.1568;0.6656;0.1512
0.0248;0.1584;0.6652;0.1516
0.0276;0.1568;0.6664;0.1492
0.028;0.1564;0.664400000000001;0.1512
0.0256;0.1588;0.666;0.1496
0.0256;0.1632;0.6636;0.1476
0.0232;0.1664;0.6644;0.146
0.026;0.1548;0.668;0.1512
0.0288;0.1556;0.666;0.1496
0.0212;0.1612;0.6684;0.1492
0.0264;0.1604;0.668400000000001;0.1448
0.0236;0.1608;0.6632;0.1524
0.0268;0.162;0.6664;0.1448
0.026;0.1604;0.6656;0.148
0.0284;0.1644;0.6668;0.1404
0.026;0.1536;0.6712;0.1492
0.024;0.1572;0.6752;0.1436
0.0268;0.1592;0.669200000000001;0.1448
0.0244;0.1588;0.670000000000001;0.1468
0.028;0.1596;0.6696;0.1428
0.0264;0.1592;0.6708;0.1436
0.03;0.1588;0.6656;0.1456
0.024;0.1572;0.6744;0.1444
0.0268;0.16;0.6684;0.1448
0.0244;0.158;0.6712;0.1464
0.0292;0.1588;0.670800000000001;0.1412
0.0292;0.1548;0.6732;0.1428
0.0244;0.1616;0.674;0.14
0.0276;0.1588;0.6732;0.1404
0.0244;0.1604;0.6764;0.1388
0.0192;0.1596;0.684;0.1372
0.0216;0.1616;0.678800000000001;0.138
0.0228;0.1612;0.678;0.138
0.02;0.1628;0.678800000000001;0.1384
0.0268;0.154;0.6776;0.1416
0.0256;0.1544;0.6776;0.1424
0.0284;0.1584;0.6768;0.1364
0.02;0.1556;0.6852;0.1392
0.0208;0.1548;0.684;0.1404
0.024;0.154;0.6832;0.1388
0.0212;0.1592;0.6852;0.1344
0.0244;0.1576;0.679600000000001;0.1384
0.0228;0.1584;0.6828;0.136
0.0196;0.1592;0.684;0.1372
0.0284;0.1548;0.684400000000001;0.1324
0.0296;0.1496;0.6828;0.138
0.0212;0.1552;0.682800000000001;0.1408
0.0216;0.1544;0.684;0.14
0.0244;0.1496;0.6904;0.1356
0.0244;0.1544;0.6844;0.1368
0.018;0.1528;0.6884;0.1408
0.0236;0.1484;0.6852;0.1428
0.0196;0.152;0.6848;0.1436
0.0244;0.1508;0.6884;0.1364
0.026;0.1536;0.6916;0.1288
0.0204;0.1508;0.6904;0.1384
0.0172;0.1544;0.69;0.1384
0.026;0.1492;0.686;0.1388
0.0248;0.1488;0.6896;0.1368
0.0256;0.1484;0.693200000000001;0.1328
0.0256;0.1484;0.69;0.136
0.0204;0.15;0.694;0.1356
0.0236;0.1516;0.6912;0.1336
0.0268;0.1468;0.6884;0.138
0.0248;0.1528;0.6884;0.134
0.0192;0.146;0.6948;0.14
0.0252;0.1444;0.6956;0.1348
0.0204;0.1472;0.697200000000001;0.1352
0.0236;0.1452;0.696;0.1352
0.0224;0.1452;0.6956;0.1368
0.0172;0.1432;0.701600000000001;0.138
0.02;0.1448;0.6984;0.1368
0.0264;0.1496;0.6944;0.1296
0.0236;0.1468;0.694;0.1356
0.0212;0.148;0.698000000000001;0.1328
0.0244;0.1416;0.694000000000001;0.14
0.026;0.1424;0.698400000000001;0.1332
0.0204;0.1452;0.696400000000001;0.138
0.0184;0.1456;0.7056;0.1304
0.018;0.1472;0.698800000000001;0.136
0.0176;0.1448;0.7012;0.1364
0.0176;0.1436;0.7064;0.1324
0.024;0.1424;0.7028;0.1308
0.0244;0.1396;0.7004;0.1356
0.0172;0.1448;0.6996;0.1384
0.022;0.14;0.702;0.136
0.024;0.1372;0.7008;0.138
0.028;0.1344;0.698000000000001;0.1396
0.0204;0.1372;0.7048;0.1376
0.0232;0.1364;0.706000000000001;0.1344
0.0192;0.1376;0.706;0.1372
0.0196;0.1372;0.706800000000001;0.1364
0.0228;0.1308;0.7076;0.1388
0.0252;0.1356;0.709600000000001;0.1296
0.02;0.1276;0.715600000000001;0.1368
0.0228;0.1312;0.7092;0.1368
0.0208;0.1348;0.706000000000001;0.1384
0.0208;0.138;0.7084;0.1328
0.024;0.1288;0.7156;0.1316
0.0212;0.1308;0.7124;0.1356
0.02;0.1328;0.712800000000001;0.1344
0.018;0.1332;0.712800000000001;0.136
0.0208;0.1348;0.7128;0.1316
0.0244;0.13;0.7104;0.1352
0.0236;0.1356;0.7084;0.1324
0.0172;0.1328;0.712800000000001;0.1372
0.0184;0.1348;0.7112;0.1356
0.0244;0.134;0.712;0.1296
0.0216;0.1332;0.71;0.1352
0.0208;0.1336;0.7124;0.1332
0.0188;0.1356;0.7152;0.1304
0.0204;0.1264;0.718;0.1352
0.0164;0.1284;0.7188;0.1364
0.0224;0.1296;0.718;0.13
0.0188;0.1292;0.7224;0.1296
0.0196;0.1276;0.7204;0.1324
0.0184;0.1308;0.714400000000001;0.1364
0.018;0.1304;0.718000000000001;0.1336
0.0156;0.1292;0.724000000000001;0.1312
0.0216;0.1232;0.72;0.1352
0.0188;0.132;0.7156;0.1336
0.0208;0.1252;0.726800000000001;0.1272
0.0176;0.1316;0.721200000000001;0.1296
0.0252;0.1256;0.721200000000001;0.128
0.018;0.1288;0.7284;0.1248
0.0232;0.1268;0.722;0.128
0.0184;0.1296;0.722;0.13
0.0248;0.1256;0.7244;0.1252
0.0172;0.1272;0.7276;0.128
0.0208;0.1296;0.7208;0.1288
0.0224;0.128;0.724;0.1256
0.0224;0.124;0.724400000000001;0.1292
0.018;0.13;0.7212;0.1308
0.02;0.1308;0.7244;0.1248
0.0208;0.1272;0.729200000000001;0.1228
0.0156;0.1312;0.726400000000001;0.1268
0.02;0.1268;0.7264;0.1268
0.0252;0.1224;0.7264;0.126
0.0204;0.1248;0.73;0.1248
0.0192;0.126;0.7256;0.1292
0.0204;0.1232;0.729200000000001;0.1272
0.0216;0.1244;0.7304;0.1236
0.0208;0.122;0.7292;0.128
0.0192;0.124;0.7244;0.1324
0.0204;0.1224;0.728000000000001;0.1292
0.0224;0.1188;0.728;0.1308
0.0228;0.1212;0.7304;0.1256
0.0232;0.1224;0.7316;0.1228
0.022;0.1192;0.733200000000001;0.1256
0.016;0.1256;0.732000000000001;0.1264
0.0196;0.118;0.733200000000001;0.1292
0.0224;0.1216;0.732400000000001;0.1236
0.0164;0.1252;0.732400000000001;0.126
0.0208;0.1252;0.73;0.124
0.0228;0.1264;0.7288;0.122
0.0192;0.1248;0.732;0.124
0.0196;0.1232;0.732400000000001;0.1248
0.0208;0.1228;0.7344;0.122
0.0228;0.1228;0.735600000000001;0.1188
0.0212;0.1288;0.7308;0.1192
0.0248;0.1212;0.732000000000001;0.122
0.0176;0.124;0.7404;0.118
0.0192;0.1244;0.7364;0.12
0.018;0.1224;0.7356;0.124
0.0224;0.1208;0.7368;0.12
0.0236;0.1212;0.734;0.1212
0.0208;0.12;0.735600000000001;0.1236
0.0188;0.1228;0.7336;0.1248
0.0196;0.1224;0.734400000000001;0.1236
0.0212;0.1264;0.7316;0.1208
0.0216;0.1172;0.734400000000001;0.1268
0.0184;0.1228;0.7348;0.124
0.0212;0.118;0.738000000000001;0.1228
0.02;0.12;0.7368;0.1232
0.0192;0.1236;0.733600000000001;0.1236
0.0224;0.1228;0.7364;0.1184
0.026;0.116;0.74;0.118
0.0172;0.1212;0.7368;0.1248
0.0216;0.112;0.7408;0.1256
0.0244;0.1132;0.743200000000001;0.1192
