action = 0;action = 90;action = 180;action = 270
-129.1667;-32.6027;48.0714;-35.1429
-109.5238;-40.1662;49.3962;-56.6766
-137.2549;-49.4565;48.2501;-33.4320
-142.3729;-24.2424;53.8506;-39.9408
-76.7857;-24.2424;53.8240;-22.2222
-181.3953;-29.0503;56.1003;-11.5942
-54.0000;-21.5470;52.1191;-6.1404
-116.6667;-17.6471;52.4770;-29.0123
-86.4407;-28.8828;56.2536;-23.3038
-190.5660;-36.7568;52.0917;-6.0241
-242.6230;3.6723;56.2536;-25.7143
-153.8462;-5.0562;53.3792;-15.6156
-29.4118;-24.2424;55.7725;-24.3478
-163.0435;-39.0110;51.9841;-7.9755
-193.3333;-22.5543;57.1837;-22.9412
-175.0000;-6.3536;49.8003;-22.5806
-125.0000;-28.6908;47.6784;-22.9607
-175.0000;-45.2247;51.7928;-14.3731
-98.3607;-44.9857;46.6019;-26.5487
-27.9070;-70.1657;42.7673;-17.6301
-120.0000;-57.1429;39.8291;-35.8824
-211.6667;-34.6939;43.4932;-14.7826
-182.8571;-44.0476;44.5272;-13.4670
-137.2549;-44.3149;45.0624;-43.8953
-146.5517;-41.9355;48.2720;-21.1310
-152.0833;-37.5000;40.7932;-9.0379
-191.8367;-25.0729;48.3305;-48.3871
-208.7719;-34.5566;45.9016;-33.1412
-196.8254;-26.5487;29.9324;-29.0123
-208.0000;0.0000;32.3644;-19.0058
-189.4737;-14.0244;38.5787;-28.6550
-69.2308;-17.5074;36.4306;-23.9884
-196.1538;-24.3478;44.0994;-19.2771
-101.6667;-19.5652;44.0470;-37.0821
-169.8113;-21.1009;44.4133;-39.5280
-252.0000;-6.0241;51.8519;-60.4167
-217.7778;10.8108;51.8519;-35.8824
-217.3077;-20.7715;50.6173;-30.3951
-170.4918;-4.9231;57.8829;-49.7041
-105.0847;-33.0383;49.0683;-29.6073
-206.9767;-49.0964;57.4074;-25.0729
-210.8696;-37.0920;48.0315;-20.0590
-152.4590;-51.0448;49.9438;-45.9877
-124.0741;-61.8619;43.6056;-49.7041
-196.1538;-71.2575;38.2369;-48.6486
-251.0638;-65.4867;43.4004;-51.8405
-288.2353;-46.2025;41.1699;-33.4320
-141.4634;-43.9252;51.0295;-19.3548
-292.8571;-66.3580;54.6518;-15.0769
-297.8723;-15.7895;53.1008;-18.8272
-191.8367;-13.7931;54.1921;-26.2840
-186.9565;-41.2844;53.8074;-6.4516
-217.7778;-58.5890;45.4596;-31.7365
-182.0513;-43.0341;42.2652;-17.3780
-205.5556;-39.2857;38.8889;-36.6864
-227.6596;-33.3333;49.5808;-67.9641
-217.3077;-40.5751;49.1469;-21.0692
-225.0000;-27.0517;45.7016;-39.1975
-161.9048;-5.0955;48.7521;-34.0625
-291.1111;-2.4845;51.0708;-5.7692
-146.5517;-7.5710;53.6842;-27.1875
-139.1304;11.7284;50.0277;-35.3846
-77.4194;-22.6115;50.8007;-19.4888
-130.2326;-24.5283;52.2265;-20.3125
-153.8462;-73.1481;48.1132;-29.8137
-214.2857;-51.2500;46.5193;-1.5924
-253.5714;-27.7419;45.3341;-5.5728
-144.4444;-38.7692;47.5319;-11.0092
-318.0000;-11.0092;52.6229;-2.2436
-280.7692;-21.0692;55.9517;10.4235
-294.8718;-27.4390;51.5419;-4.1009
-274.0000;-14.5110;54.5705;6.3091
-144.4444;-43.7908;58.2048;2.2222
-115.6863;-33.9744;48.1644;-26.9231
-266.6667;-43.1746;47.8501;-19.1950
-266.6667;-32.1429;50.5211;-24.5283
-266.6667;-9.6463;42.7711;0.3236
-153.8462;-22.6230;58.3653;-13.4375
-106.2500;-41.9355;60.5191;0.3021
-201.9608;-11.4379;58.9011;-8.9783
-175.0000;-7.4074;60.7143;-14.3731
-208.7719;-8.9109;62.0482;-5.0955
-51.7241;-18.6275;63.3133;-14.6580
-240.0000;-10.7383;62.7932;-12.1019
-147.5000;-33.1210;61.5301;-35.7595
-326.5306;-15.5932;56.7921;-8.9783
-273.2143;-23.0263;50.7373;-6.7961
-141.4634;-75.7188;48.9350;-15.2381
-153.8462;-30.0319;52.3836;-31.2903
-170.1754;-74.0506;51.0977;-22.6230
-106.2500;-48.0769;47.1038;-34.8387
-214.2857;-28.5714;47.1327;-33.9744
-175.0000;-21.8241;52.0697;-40.6557
-208.7719;-43.3225;58.7276;-51.8519
-149.0566;-40.0621;46.4149;-36.5772
-77.4194;-27.0627;48.9071;-44.2623
-150.0000;-49.0323;51.8639;-52.8814
-220.8333;-59.1640;42.6399;-54.0000
-217.7778;-25.8170;34.8015;-63.2258
-116.0714;-9.2715;49.2400;-65.0000
-179.6610;-19.8020;48.4469;-66.9967
-280.7692;-32.0000;44.3719;-38.8350
-204.2553;-50.4886;54.4166;-62.1795
