action = 0;action = 180
-221.1679;74.8625
-255.3846;76.7932
-206.4286;76.2288
-241.8919;78.9541
-226.2069;76.6454
-206.0150;80.0169
-242.2222;77.2093
-169.2308;76.1986
-201.4815;78.6047
-287.7698;80.4320
-210.0671;82.2203
-173.0496;76.2187
-296.9925;81.4111
-253.2847;77.1900
-318.3099;81.3401
-229.2517;81.3005
-226.4516;78.4222
-195.1220;76.8616
-285.8209;77.2189
-165.7718;74.7342
-285.4015;79.9831
-213.1387;73.9314
-301.4599;77.6555
-266.6667;78.0280
-264.1892;74.2772
-190.7143;74.8305
-233.0986;74.8092
-198.0645;76.5458
-191.8367;77.0931
-276.9231;73.3984
-232.5581;72.6276
-207.3529;76.7343
-264.1379;74.7771
-306.5217;75.3175
-239.7059;74.4078
-302.2388;77.2189
-255.1181;74.5048
-286.8966;78.0467
-235.7143;76.0870
-255.0633;78.3945
-190.9677;74.2004
-188.2759;77.5796
-264.1379;78.0467
-210.8696;75.7832
-246.1538;78.5320
-283.8926;80.8167
-303.9063;76.3491
-274.4681;78.0839
-229.1971;73.9314
-292.3077;78.5320
-263.3929;74.6650
-237.9085;80.3153
-225.9259;78.1395
-244.2177;79.4305
-266.6667;78.4955
-193.8356;78.9720
-176.7742;77.0149
-236.1111;77.1222
-169.0647;77.1707
-164.9635;79.0521
-242.8571;82.1824
-219.8582;80.4154
-216.6667;79.0963
-198.5714;79.9576
-186.3014;78.5047
-243.3121;82.1596
-180.5369;79.4130
-196.4539;77.1513
-272.1805;80.0169
-198.7654;81.1805
-234.7826;77.1804
-222.2930;81.2207
-284.6154;80.3988
-213.0769;77.7215
-178.8732;77.1416
-223.9726;79.4393
-252.9851;77.6839
-225.6579;76.5758
-177.0370;74.4186
-225.9259;77.2093
-240.8451;74.8092
-215.4412;74.8731
-182.6389;77.1222
-197.9167;77.1222
-266.6667;79.5608
-285.4015;78.5865
-167.7632;77.5128
-175.0000;78.5956
-143.5714;76.2288
-237.2263;77.1900
-227.8146;79.8638
-234.4595;77.5510
-254.6053;76.5758
-252.2876;82.1900
-275.0000;75.3801
-226.2069;76.1783
-285.0000;82.7542
-276.3158;78.4497
-254.6053;78.4497
-242.7536;70.1948
-208.2803;75.5869
-156.9343;73.0004
-287.3239;79.9406
-175.0000;76.5758
-184.3537;76.6256
-133.5616;76.1682
-220.1493;71.6399
-214.2857;78.9630
-246.5753;79.4393
-240.8451;78.0746
-185.7143;81.2447
-161.5385;74.7985
-321.2766;79.0165
-266.6667;76.7442
-203.4483;76.6454
-276.9231;76.6653
-219.8582;75.7524
-346.3768;83.7003
-187.3134;77.2189
-244.7761;77.2189
-194.7712;77.5032
-261.0687;73.0688
-223.9726;76.1682
-271.8310;78.0746
-214.2857;78.4955
-227.2152;77.4552
-258.6957;78.1118
-318.6567;73.9645
-212.1622;78.0187
-249.6689;81.2686
-207.6923;76.1986
-199.2647;75.8037
-217.6056;78.5411
-298.4252;79.1403
-208.9041;77.5701
-150.3448;73.8429
-190.9677;76.5458
-263.9098;72.5813
-219.8582;78.5502
-216.5468;79.9661
-223.0769;76.6653
-163.0435;75.3175
-272.0588;79.9915
-196.1538;74.0084
-146.0526;77.9813
-218.4211;78.4497
-170.7692;72.6160
-247.7419;82.1748
-178.9855;75.3175
-215.5039;78.1949
-235.0993;82.6735
-246.9231;80.5063
